serveId,recipeId,retailName,retailPrice,hiddenCost,truePrice,labels,priceWithoutTax,valueAddedTax,smartValueAddedTax,smartPricingRounded,offsetting,isDecaf,hasMilk,milkType,coffeeDetails
"Cappuccino, Compass Machine",Cappuccino,Cappuccino Via Verde Compass Machine,2.2,0.258,2.33,via-verde|fairtrade|eu-organic,2.035,0.165,0.04,2.1,-0.129,False,True,Cow milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
"Cappuccino, Le Klee",Cappuccino,Cappuccino Via Verde Le Klee,2.7,0.338,2.91,via-verde|fairtrade|eu-organic,2.498,0.202,0.048,2.6,-0.129,False,True,Cow milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
"Cappuccino, lait d'amande, Le Klee",Cappuccino,Cappuccino Via Verde Le Klee,2.7,0.346,2.92,via-verde|fairtrade|eu-organic,2.498,0.202,0.049,2.6,-0.129,False,True,Almond milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
"Cappuccino, lait d'avoine, Le Klee",Cappuccino,Cappuccino Via Verde Le Klee,2.7,0.24,2.81,via-verde|fairtrade|eu-organic|eu-organic,2.498,0.202,0.038,2.6,-0.129,False,True,Oat milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
"Cappuccino, lait de soja, Le Klee",Cappuccino,Cappuccino Via Verde Le Klee,2.7,0.376,2.95,via-verde|fairtrade|eu-organic,2.498,0.202,0.052,2.65,-0.129,False,True,Soya milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
"Cappuccino, sans-lactose, Le Klee",Cappuccino,Cappuccino Via Verde Le Klee,2.7,0.338,2.91,via-verde|fairtrade|eu-organic,2.498,0.202,0.048,2.6,-0.129,False,True,Cow milk,"Foam, foam, and more foam! Cappuccino is the playful coffee that's part rich espresso, part frothy milk clouds. With a sprinkle of cocoa on top, it’s like dessert in a cup—decadent, but oh-so drinkable."
"Chocolait, Dallmayr",Chocolait,Chocolait Dallmayr,1.7,0.369,2.07,rainforest-alliance,1.573,0.127,0.065,1.65,0.0,False,True,Cow milk,"A smooth, velvety chocolate drink, rich in cocoa and milk. Perfect for when you crave warmth and sweetness in a cup."
"Chocolat, Dallmayr",Chocolat,Chocolat Dallmayr,1.6,0.29,1.89,rainforest-alliance,1.48,0.12,0.057,1.55,0.0,False,False,none,"Classic hot chocolate—deep, indulgent, and comforting. Made with real cocoa, it’s a timeless treat for chocolate lovers."
"Espresso Blue Planet, Dallmayr",Espresso,Espresso Blue Planet Dallmayr,1.7,0.237,1.67,blue-planet|fairtrade|eu-organic,1.573,0.127,0.023,1.6,-0.262,False,False,none,"The classic Espresso is the heart and soul of all great coffee. It’s small, bold, and gives you that perfect, rich jolt you need to start your day. One sip, and you’re ready to take on the world—or at least the morning."
"Espresso Macchiato Blue Planet, Dallmayr",Espresso Macchiato,Espresso Macchiato Blue Planet Dallmayr,1.8,0.286,1.82,blue-planet|fairtrade|eu-organic,1.665,0.135,0.029,1.7,-0.262,False,False,none,"A pure espresso shot, ""stained"" with a touch of frothy milk. A small but powerful drink for those who like their coffee with a creamy edge."
"Espresso Macchiato Via Verde, Dallmayr",Espresso Macchiato,Espresso Macchiato Via Verde Dallmayr,1.7,0.243,1.81,via-verde|fairtrade|eu-organic,1.573,0.127,0.038,1.65,-0.129,False,False,none,"A pure espresso shot, ""stained"" with a touch of frothy milk. A small but powerful drink for those who like their coffee with a creamy edge."
"Espresso Via Verde, Dallmayr",Espresso,Espresso Via Verde Dallmayr,1.6,0.194,1.67,via-verde|fairtrade|eu-organic,1.48,0.12,0.033,1.55,-0.129,False,False,none,"The classic Espresso is the heart and soul of all great coffee. It’s small, bold, and gives you that perfect, rich jolt you need to start your day. One sip, and you’re ready to take on the world—or at least the morning."
"Espresso, Compass Machine",Espresso,Espresso Via Verde Compass Machine,1.5,0.194,1.57,via-verde|fairtrade|eu-organic,1.388,0.112,0.033,1.45,-0.129,False,False,none,"The classic Espresso is the heart and soul of all great coffee. It’s small, bold, and gives you that perfect, rich jolt you need to start your day. One sip, and you’re ready to take on the world—or at least the morning."
"Espresso, Le Klee",Espresso,Espresso Via Verde Le Klee,1.6,0.194,1.67,via-verde|fairtrade|eu-organic,1.48,0.12,0.033,1.55,-0.129,False,False,none,"The classic Espresso is the heart and soul of all great coffee. It’s small, bold, and gives you that perfect, rich jolt you need to start your day. One sip, and you’re ready to take on the world—or at least the morning."
"Frappé Vanille, Dallmayr",Frappé,Frappé Vanille Dallmayr,1.7,0.198,1.9,none,1.573,0.127,0.047,1.65,0.0,False,True,Cow milk,"A chilled, frothy coffee delight. Blended or shaken, it’s a refreshing pick-me-up, perfect for hot days and coffee lovers on the go."
"Latte Macchiato Blue Planet, Dallmayr",Latte Macchiato,Latte Macchiato Blue Planet Dallmayr,1.8,0.331,1.87,blue-planet|fairtrade|eu-organic,1.665,0.135,0.033,1.7,-0.262,False,True,Cow milk,"Layers of luxury! A Latte Macchiato is an espresso slowly poured into steamed milk, creating a beautiful, striped masterpiece. It’s a little bit of drama in your cup, perfect for when you want to sip in style."
"Latte Macchiato Vanille Blue Planet, Dallmayr",Latte Macchiato,Latte Macchiato Vanille Blue Planet Dallmayr,1.8,0.365,1.9,blue-planet|fairtrade|eu-organic,1.665,0.135,0.037,1.75,-0.262,False,True,Cow milk,"Layers of luxury! A Latte Macchiato is an espresso slowly poured into steamed milk, creating a beautiful, striped masterpiece. It’s a little bit of drama in your cup, perfect for when you want to sip in style."
"Latte Macchiato Vanille Via Verde, Dallmayr",Latte Macchiato,Latte Macchiato Vanille Via Verde Dallmayr,1.7,0.322,1.89,via-verde|fairtrade|eu-organic,1.573,0.127,0.047,1.65,-0.129,False,True,Cow milk,"Layers of luxury! A Latte Macchiato is an espresso slowly poured into steamed milk, creating a beautiful, striped masterpiece. It’s a little bit of drama in your cup, perfect for when you want to sip in style."
"Latte Macchiato Via Verde, Dallmayr",Latte Macchiato,Latte Macchiato Via Verde Dallmayr,1.7,0.288,1.86,via-verde|fairtrade|eu-organic,1.573,0.127,0.043,1.65,-0.129,False,True,Cow milk,"Layers of luxury! A Latte Macchiato is an espresso slowly poured into steamed milk, creating a beautiful, striped masterpiece. It’s a little bit of drama in your cup, perfect for when you want to sip in style."
"Latte Macchiato, Le Klee",Latte Macchiato,Latte Macchiato Via Verde Le Klee,2.7,0.374,2.95,via-verde|fairtrade|eu-organic,2.498,0.202,0.052,2.65,-0.129,False,True,Cow milk,"Layers of luxury! A Latte Macchiato is an espresso slowly poured into steamed milk, creating a beautiful, striped masterpiece. It’s a little bit of drama in your cup, perfect for when you want to sip in style."
"Latte Macchiato, lait d'amande, Le Klee",Latte Macchiato,Latte Macchiato Via Verde Le Klee,2.7,0.384,2.96,via-verde|fairtrade|eu-organic,2.498,0.202,0.053,2.65,-0.129,False,True,Almond milk,"Layers of luxury! A Latte Macchiato is an espresso slowly poured into steamed milk, creating a beautiful, striped masterpiece. It’s a little bit of drama in your cup, perfect for when you want to sip in style."
"Latte Macchiato, lait d'avoine, Le Klee",Latte Macchiato,Latte Macchiato Via Verde Le Klee,2.7,0.251,2.82,via-verde|fairtrade|eu-organic|eu-organic,2.498,0.202,0.039,2.6,-0.129,False,True,Oat milk,"Layers of luxury! A Latte Macchiato is an espresso slowly poured into steamed milk, creating a beautiful, striped masterpiece. It’s a little bit of drama in your cup, perfect for when you want to sip in style."
"Latte Macchiato, lait de soja, Le Klee",Latte Macchiato,Latte Macchiato Via Verde Le Klee,2.7,0.422,2.99,via-verde|fairtrade|eu-organic,2.498,0.202,0.057,2.65,-0.129,False,True,Soya milk,"Layers of luxury! A Latte Macchiato is an espresso slowly poured into steamed milk, creating a beautiful, striped masterpiece. It’s a little bit of drama in your cup, perfect for when you want to sip in style."
"Latte Macchiato, sans-lactose, Le Klee",Latte Macchiato,Latte Macchiato Via Verde Le Klee,2.7,0.374,2.95,via-verde|fairtrade|eu-organic,2.498,0.202,0.052,2.65,-0.129,False,True,Cow milk,"Layers of luxury! A Latte Macchiato is an espresso slowly poured into steamed milk, creating a beautiful, striped masterpiece. It’s a little bit of drama in your cup, perfect for when you want to sip in style."
"Macchiato, Compass Machine",Macchiato,Macchiato Via Verde Compass Machine,2.2,0.248,2.32,via-verde|fairtrade|eu-organic,2.035,0.165,0.039,2.1,-0.129,False,True,Cow milk,"An espresso-forward drink with just a hint of milk, balancing boldness with a touch of smoothness. Ideal for those who love strong coffee with a light creamy texture."
"Mocaccino Blue Planet, Dallmayr",Mocaccino,Mocaccino Blue Planet Dallmayr,1.8,0.456,1.99,blue-planet|fairtrade|eu-organic|rainforest-alliance,1.665,0.135,0.046,1.75,-0.262,False,True,Cow milk,"A Mocaccino is the perfect blend of coffee and dessert. It’s espresso mixed with rich chocolate and topped with creamy milk foam—like a warm hug in a cup! If you can’t choose between coffee and a treat, this one gives you both."
"Mocaccino Via Verde, Dallmayr",Mocaccino,Mocaccino Via Verde Dallmayr,1.7,0.413,1.98,via-verde|fairtrade|eu-organic|rainforest-alliance,1.573,0.127,0.056,1.65,-0.129,False,True,Cow milk,"A Mocaccino is the perfect blend of coffee and dessert. It’s espresso mixed with rich chocolate and topped with creamy milk foam—like a warm hug in a cup! If you can’t choose between coffee and a treat, this one gives you both."
"Renversé, Compass Machine",Renversé,Renversé Via Verde Compass Machine,2.2,0.248,2.32,via-verde|fairtrade|eu-organic,2.035,0.165,0.039,2.1,-0.129,False,True,Cow milk,"The Swiss cousin of the latte, Renversé is all about balance—equal parts coffee and milk, stirred together in creamy perfection. It’s like a gentle wake-up call, ideal for those who want their coffee to say “good morning” without shouting."
"Renversé, Le Klee",Renversé,Renversé Via Verde Le Klee,2.7,0.374,2.95,via-verde|fairtrade|eu-organic,2.498,0.202,0.052,2.65,-0.129,False,True,Cow milk,"The Swiss cousin of the latte, Renversé is all about balance—equal parts coffee and milk, stirred together in creamy perfection. It’s like a gentle wake-up call, ideal for those who want their coffee to say “good morning” without shouting."
"Renversé, lait d'amande, Le Klee",Renversé,Renversé Via Verde Le Klee,2.7,0.384,2.96,via-verde|fairtrade|eu-organic,2.498,0.202,0.053,2.65,-0.129,False,True,Almond milk,"The Swiss cousin of the latte, Renversé is all about balance—equal parts coffee and milk, stirred together in creamy perfection. It’s like a gentle wake-up call, ideal for those who want their coffee to say “good morning” without shouting."
"Renversé, lait d'avoine, Le Klee",Renversé,Renversé Via Verde Le Klee,2.7,0.251,2.82,via-verde|fairtrade|eu-organic|eu-organic,2.498,0.202,0.039,2.6,-0.129,False,True,Oat milk,"The Swiss cousin of the latte, Renversé is all about balance—equal parts coffee and milk, stirred together in creamy perfection. It’s like a gentle wake-up call, ideal for those who want their coffee to say “good morning” without shouting."
"Renversé, lait de soja, Le Klee",Renversé,Renversé Via Verde Le Klee,2.7,0.422,2.99,via-verde|fairtrade|eu-organic,2.498,0.202,0.057,2.65,-0.129,False,True,Soya milk,"The Swiss cousin of the latte, Renversé is all about balance—equal parts coffee and milk, stirred together in creamy perfection. It’s like a gentle wake-up call, ideal for those who want their coffee to say “good morning” without shouting."
"Renversé, sans-lactose, Le Klee",Renversé,Renversé Via Verde Le Klee,2.7,0.374,2.95,via-verde|fairtrade|eu-organic,2.498,0.202,0.052,2.65,-0.129,False,True,Cow milk,"The Swiss cousin of the latte, Renversé is all about balance—equal parts coffee and milk, stirred together in creamy perfection. It’s like a gentle wake-up call, ideal for those who want their coffee to say “good morning” without shouting."
"Ristretto, Compass Machine",Ristretto,Ristretto Via Verde Compass Machine,1.5,0.194,1.57,via-verde|fairtrade|eu-organic,1.388,0.112,0.033,1.45,-0.129,False,False,none,"A Ristretto is like the espresso’s cool, intense sibling—packed with punch in every drop. It's a super-concentrated shot of coffee that says, ""I’m here for a quick burst of flavor!"" Perfect for when you need maximum coffee power in minimum time."
"Ristretto, Le Klee",Ristretto,Ristretto Via Verde Le Klee,1.6,0.194,1.67,via-verde|fairtrade|eu-organic,1.48,0.12,0.033,1.55,-0.129,False,False,none,"A Ristretto is like the espresso’s cool, intense sibling—packed with punch in every drop. It's a super-concentrated shot of coffee that says, ""I’m here for a quick burst of flavor!"" Perfect for when you need maximum coffee power in minimum time."
